Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),average_values,discount_column_with null to average _values ,OriginalPrice (in Rs),discount_offer_In_price,Discount in percentage,SizeOption,Ratings,Reviews,Discount_category,,,,
27399,Jockey,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,549,,0%,"32B, 32C, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",4.4,326,Low_Discount,,,,
27502,Jockey,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,429,,0%,"32A, 32B, 32C, 34A, 34B, 34C, 36A, 36B, 36C, 38A, 38B, 38C",4.5,890,High_Discount,,,,
60309,Jockey,Lingerie & Sleep Wear,briefs,Women,,602.52,602.52,449,,0%,"S, M, L, XL, XXL",4.4,662,Low_Discount,,,,
72724,Triumph,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,999,,0%,"34B, 34C, 34D, 34E, 36B, 36C, 36D, 36E, 38B, 38C, 38D, 38E, 40B, 40C, 40D, 40E, 42B, 42C, 42D, 42E, 44E",4.5,253,Low_Discount,,,,
72725,Triumph,Lingerie & Sleep Wear,bra,Women,989,602.52,989,999,9.99,1%,"34B, 34C, 34D, 34E, 36B, 36C, 36D, 36E, 38B, 38C, 38D, 38E, 40B, 40C, 40D, 40E, 42B, 42C, 42D, 42E, 44E",4.4,261,Low_Discount,,,,
80015,Jockey,Inner Wear &  Sleep Wear,thermal-tops,Men,,530.36,530.36,679,,0%,"XS, S, M, L, XL",4.4,292,Low_Discount,,,,
80066,Jockey,Inner Wear &  Sleep Wear,trunk,Men,,530.36,530.36,299,,0%,"S, M, L, XL",4.2,421,High_Discount,,,,
110269,Ira Soleil,Indian Wear,kurtis,Women,999,1059.22,999,2499,1499.4,60%,"XS, S, M, L, XL, XXL",3.6,778,Low_Discount,,,,
130966,Enamor,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,779,,0%,"34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C, 42D",4.5,757,High_Discount,,,,
130968,Enamor,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,779,,0%,"34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C, 42D",4.4,985,Low_Discount,,,,
163280,Go Colors,Western,leggings,Women,,470,470,549,,0%,"S, M, L, XL",4.6,413,Low_Discount,,,,
174804,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1295,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 40C, 40D",4.3,244,Low_Discount,,,,
174831,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,845,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40C, 40D",4,407,High_Discount,,,,
174832,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,845,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40C, 40D",4.2,280,High_Discount,,,,
174844,Amante,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,545,,0%,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",3.8,252,Low_Discount,,,,
252600,Eavan,Western,dresses,Women,,470,470,1699,84.95,5%,"XS, S, M, L, XL",4.4,375,High_Discount,,,,
310730,Besiva,Western,dresses,Women,,470,470,1149,344.7,30%,"XS, S, M, L",4.4,276,High_Discount,,,,
329453,Klamotten,Lingerie & Sleep Wear,nightdress,Women,539,602.52,539,899,359.6,40%,Onesize,3.8,247,Low_Discount,,,,
363026,Triumph,Lingerie & Sleep Wear,bra,Women,1583,602.52,1583,1599,15.99,1%,"34C, 34D, 34E, 34F, 36C, 36D, 36E, 36F, 36G, 38C, 38D, 38E, 38F, 38G, 40C, 40D, 40E, 40F, 40G",4.6,417,Low_Discount,,,,
363037,Triumph,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1699,,0%,"34C, 34D, 34E, 34F, 36C, 36D, 36E, 36F, 36G, 36H, 38C, 38D, 38E, 38F, 38G, 38H, 40C, 40D, 40E, 40F, 40G, 40H, 42G",4.5,330,High_Discount,,,,
363038,Triumph,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1699,,0%,"34C, 34D, 34E, 34F, 36C, 36D, 36E, 36F, 36G, 38C, 38D, 38E, 38F, 38G, 40C, 40D, 40E, 40F, 40G",4.5,458,Low_Discount,,,,
363046,Triumph,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1499,,0%,"34C, 34D, 34E, 36C, 36D, 36E, 38C, 38D, 38E, 40C, 40D, 40E, 42D, 42E, 44D, 44E",4.6,326,Low_Discount,,,,
363048,Triumph,Lingerie & Sleep Wear,bra,Women,,602.52,602.52,1499,,0%,"34C, 34D, 34E, 36C, 36D, 36E, 38C, 38D, 38E, 40C, 40D, 40E, 42D, 42E, 44D, 44E",4.2,557,High_Discount,,,,
